"P_inst (c0=1,c1=1,c2=1,c3=0) X","P_inst (c0=1,c1=1,c2=1,c3=0) Y"
8.024905827718299e-08,5.866189674967113e-05
8.025083507829682e-08,5.314626280082987e-05
8.025285247326676e-08,4.812563911271156e-05
8.025531871642748e-08,4.325773624116188e-05
8.025868920584992e-08,3.824013360271812e-05
8.026298194232171e-08,3.373462505048118e-05
8.026805646347982e-08,3.010438995783507e-05
8.027454405792014e-08,2.668362726041767e-05
8.028013113663e-08,2.401037836931752e-05
8.02862165393488e-08,2.060890540273145e-05
8.029066630460821e-08,1.775815356293391e-05
8.029569923320006e-08,1.443521347549303e-05
8.030043401851259e-08,1.147967474876415e-05
8.030547505880612e-08,9.385358241245936e-06
8.030917133992717e-08,8.522323820086909e-06
8.031358806287674e-08,8.057816036078316e-06
8.031951655876998e-08,8.000009969311463e-06
8.032834938835396e-08,8.319876107618489e-06
8.033745678342717e-08,8.471875713688622e-06
8.03477883456831e-08,8.129784569379168e-06
8.035852593278824e-08,7.328292412264932e-06
8.037068086783341e-08,8.195057889498742e-06
8.038368345153867e-08,2.657792809106394e-05
8.039426399962923e-08,5.131489854804009e-05
8.04026373122391e-08,5.777636175337407e-05
8.040808903661961e-08,6.675506233311067e-05
8.041157476716835e-08,9.58903847288652e-05
8.041480632946927e-08,0.000148422726389377
8.041814426231609e-08,0.0002137152418246331
8.042144080121548e-08,0.0002659814773588481
8.04237473159387e-08,0.000294991524860559
8.042606242156365e-08,0.0003436527189255459
8.042830650499856e-08,0.0004678363246602591
8.042991316705033e-08,0.0005889985359093386
8.043136082285918e-08,0.000673868297533063
8.043246559283339e-08,0.0007535109135255448
8.043360947966646e-08,0.0008310032821097732
8.04344891467505e-08,0.0008496593721976835
8.043534998706237e-08,0.0008305427310839786
8.043606167938894e-08,0.0007983670342740661
8.043699666656677e-08,0.0007392517273367525
8.04375830835815e-08,0.0006980420864806862
8.043820585613843e-08,0.000654599758561859
8.043886913709632e-08,0.0006124141729952021
8.043987900232924e-08,0.0005599065979710807
8.044060699624164e-08,0.0005272496133505401
8.04415901967581e-08,0.000479571297494507
8.044252559474491e-08,0.000423369194117382
8.044364174855026e-08,0.0003484018602546005
8.044476538977793e-08,0.0002887817977132169
8.044576827797273e-08,0.0002538307879616385
8.044665686971256e-08,0.0002211306933306595
8.044759321648943e-08,0.0001815041677725883
8.044836633569485e-08,0.0001611614942295975
8.044904361501825e-08,0.0001534968431717633
8.044977342232067e-08,0.0001490827602302028
8.045057759507337e-08,0.0001443080925901978
8.045160589904908e-08,0.0001362895768570539
8.045258288193268e-08,0.0001272463131183815
8.045375167945031e-08,0.0001161978150419051
8.04552184019465e-08,0.000103349651556431
8.045696815335167e-08,9.113089609784087e-05
8.04590526906353e-08,8.46765476632097e-05
8.046171547605111e-08,9.970713449366233e-05
8.046398444035882e-08,0.0001253576079053807
8.04657799661127e-08,0.0001349514852948036
8.046781515162994e-08,0.0001285752274007039
8.046993676358126e-08,0.0001594719130654773
8.047155493559476e-08,0.0002034743345873874
8.04728938859486e-08,0.0002171292975405179
8.047404710994453e-08,0.0002100145062534879
8.047529474782135e-08,0.000214114073233648
8.047647930551722e-08,0.0002598699251742603
8.047753197196217e-08,0.0003191344413491622
8.047843875673975e-08,0.000362915861120892
8.04795488361724e-08,0.0003832208611789542
8.04805160552269e-08,0.0003827277269455046
8.048146030059184e-08,0.000383755124336795
8.048235644363685e-08,0.0003797537093054579
8.048313906638366e-08,0.0003875126839685837
8.048397451175708e-08,0.0004087096237838821
8.0484954063543e-08,0.0004211117999074758
8.048582292770828e-08,0.0004136023227833108
8.048671592273403e-08,0.0004050651358868088
8.048778317874197e-08,0.0004136203047210223
8.048887633213255e-08,0.000475822994994569
8.048994477795046e-08,0.0006231520296451235
8.049123607392614e-08,0.0008595750120195442
8.049278126553929e-08,0.001052612288400066
8.049431105468272e-08,0.001090917305061573
8.04960084874339e-08,0.0009980633968446706
8.049770848682418e-08,0.0008248681191410918
8.049945151328737e-08,0.0006231207995738799
8.050125044401693e-08,0.0004279937576941775
8.050342821388142e-08,0.0002341864821372001
8.050548171054963e-08,0.0001125290567500202
8.050743574008664e-08,5.084682807796713e-05
8.050966419598898e-08,2.032482097748068e-05
8.051198786412694e-08,9.088963961078191e-06
8.051441384376921e-08,5.273149045073762e-06
8.051732008759169e-08,3.738808113111357e-06
8.052070458237349e-08,2.960786352624733e-06
8.05249527287742e-08,2.333814954310817e-06
8.053056145042937e-08,1.72894530146448e-06
8.053877331717494e-08,1.125843817954909e-06
8.055193406185193e-08,5.870007565975057e-07
8.057372528467724e-08,2.329285026246722e-07
8.059817007643885e-08,1.136227626490129e-07
8.062604466517517e-08,7.078062673504862e-08
8.065815419371053e-08,5.226516351993057e-08
8.069945052921027e-08,4.085879408386614e-08
8.075480910151084e-08,3.218316389365721e-08
8.08322576323283e-08,2.50284150505712e-08
8.094868952706913e-08,1.899683392725339e-08
8.115000230842951e-08,1.37879681817224e-08
8.144032531968538e-08,1.032890447140952e-08
8.18460677071367e-08,8.048133578268794e-09
8.241449069252658e-08,6.480085313285306e-09
8.323847784743914e-08,5.331751996758663e-09
8.442639713183461e-08,4.476752611436154e-09
8.612821696122137e-08,3.824729676708111e-09
8.806410848061068e-08,3.398973064996809e-09
9e-08,3.123798072486305e-09
