leafValue(clip(getData(":pwr" ?result "tran") (VAR("T") / 2) (32.5 * VAR("T"))) "Design_Point" 1.0) X,leafValue(clip(getData(":pwr" ?result "tran") (VAR("T") / 2) (32.5 * VAR("T"))) "Design_Point" 1.0) Y
5.289049416334133e-08,4.959819259926824e-06
5.29521453374519e-08,4.959794101298036e-06
5.304353796838611e-08,4.959793864732947e-06
5.319701820774126e-08,4.9597919949324e-06
5.350397868645155e-08,4.95979313203171e-06
5.411789964387215e-08,4.959795289334199e-06
5.534574155871333e-08,4.959799370873956e-06
5.78014253883957e-08,4.959806492582214e-06
5.999999999999999e-08,4.959811896050413e-06
6.00375e-08,4.975487812499902e-06
6.004700325136136e-08,5.070056120174217e-06
6.006600975408409e-08,8.510984161106131e-06
6.007120467086404e-08,1.128661952915515e-05
6.007584633716203e-08,1.427057128492676e-05
6.008124056169704e-08,1.758292234780948e-05
6.00865038006657e-08,1.98405230938055e-05
6.009603044561252e-08,1.930509733814918e-05
6.009991970165632e-08,1.692645556812637e-05
6.010244850469452e-08,1.505057664001526e-05
6.010547349168458e-08,1.332233331254665e-05
6.010793565570561e-08,1.267596999768563e-05
6.011048586010956e-08,1.264443074063042e-05
6.011290317165808e-08,1.276132815594717e-05
6.011542837924637e-08,1.287493510631483e-05
6.011796563903134e-08,1.296535383463362e-05
6.012162655615455e-08,1.305841296329e-05
6.012837985401821e-08,1.314369201339006e-05
6.014129475376266e-08,1.312328008465004e-05
6.014999999999999e-08,1.302724476671715e-05
6.015269931882598e-08,1.238391818382503e-05
6.015746643361449e-08,1.160682815699618e-05
6.016162735314403e-08,1.128671994375775e-05
6.016994919220309e-08,1.09923280483574e-05
6.017818664869044e-08,1.087864549083721e-05
6.019014618538539e-08,1.0799657073272e-05
6.020643285987792e-08,1.072575397044281e-05
6.023239066110982e-08,1.061895084174872e-05
6.027908725117582e-08,1.042778760676337e-05
6.037248043130783e-08,1.00511627251275e-05
6.054865148740025e-08,9.398801766603105e-06
6.061328103001166e-08,9.275238573922209e-06
6.066408451676937e-08,9.337457415459832e-06
6.07143582172155e-08,9.597032330285132e-06
6.07663290747493e-08,9.95006806135751e-06
6.081521813388048e-08,1.006940515605711e-05
6.084684661777605e-08,1.012084333888043e-05
6.086266085972385e-08,1.08425700286445e-05
6.087042107236118e-08,1.163041067284048e-05
6.088012053559244e-08,1.300786977483895e-05
6.08905606016219e-08,1.461904126246231e-05
6.090054307164993e-08,1.522692435477123e-05
6.09101207365465e-08,1.41726995721126e-05
6.091368199648616e-08,1.541706718510631e-05
6.091591756068168e-08,1.726845637960275e-05
6.091898025353442e-08,1.987620551013028e-05
6.092116626447104e-08,2.055716662347475e-05
6.092388981347065e-08,1.920408936176346e-05
6.092683580309997e-08,1.531515623462724e-05
6.092929159869611e-08,1.144803765037771e-05
6.093110609205439e-08,9.486622331910116e-06
6.093262961461331e-08,8.596953947698065e-06
6.09342175386777e-08,7.982873261011274e-06
6.093593487612007e-08,7.421375238770937e-06
6.09376991154166e-08,6.904903976300154e-06
6.093989719194197e-08,6.385985614412992e-06
6.094309290923594e-08,5.93710560600953e-06
6.094853396148743e-08,5.66578947464059e-06
6.095370938146538e-08,5.559452565694169e-06
6.09585376634301e-08,5.482252734084021e-06
6.096375614492782e-08,5.411538710599766e-06
6.097262504495477e-08,5.312962778526862e-06
6.098524181317486e-08,5.206573270121551e-06
6.100762866945324e-08,5.08176582885233e-06
6.103591216008503e-08,4.997681383522613e-06
6.107352580653771e-08,4.963215475751841e-06
6.112246972361167e-08,4.959786997830444e-06
6.115993942783129e-08,4.959761793162443e-06
6.12004224080593e-08,4.959753784702185e-06
6.125484815956169e-08,4.9597528002378e-06
6.136369966256647e-08,4.959753243814087e-06
6.157622492173134e-08,4.959754292458674e-06
6.19248558289545e-08,4.959756816494847e-06
6.258187578475651e-08,4.959760504046812e-06
6.389591569636054e-08,4.959767993518985e-06
6.569795784818027e-08,4.959777130406936e-06
