P_inst (k_TG=3) X,P_inst (k_TG=3) Y
2.064394081704889e-08,-5.133023372390206e-06
2.069334296131183e-08,-4.52560899168785e-06
2.076135764765875e-08,-3.806010900489282e-06
2.08543499503686e-08,-3.082186993784129e-06
2.095896372900371e-08,-2.488452997400708e-06
2.106437952340697e-08,-2.085730846602973e-06
2.12032760115896e-08,-1.70962899499785e-06
2.14464549753004e-08,-1.366556160282723e-06
2.191050334271588e-08,-1.129642962943377e-06
2.237845534593683e-08,-1.109174645500954e-06
2.313138543136555e-08,-1.095615149563605e-06
2.409852472785838e-08,-1.105068451791198e-06
2.5e-08,-1.096071188494438e-06
2.504562980509523e-08,-2.137140130100049e-06
2.511224623194125e-08,-2.085447990690369e-06
2.517448901021977e-08,-3.011505175105788e-06
2.520561039935904e-08,-7.120990420608855e-06
2.521949905551285e-08,-1.06665039026671e-05
2.523301796473247e-08,-1.508213584160788e-05
2.525008002702216e-08,-1.956895564001109e-05
2.526325448092204e-08,-2.311538933160656e-05
2.527925621635781e-08,-2.79720690235372e-05
2.52854218091857e-08,-3.170120619681352e-05
2.528988297717358e-08,-3.377318092282411e-05
2.52958391414883e-08,-3.785905418347812e-05
2.530010531355856e-08,-4.110824072753131e-05
2.530291646192817e-08,-4.121649051333772e-05
2.530580815333246e-08,-4.238380863673164e-05
2.530912654374878e-08,-4.485079212905203e-05
2.531201062785558e-08,-4.777714596257231e-05
2.531553002795086e-08,-5.081749438427814e-05
2.53198333771426e-08,-5.436716348465292e-05
2.532465476250747e-08,-5.769570439154083e-05
2.533108156252156e-08,-6.541587620962087e-05
2.533287364161896e-08,-7.513326114095172e-05
2.533451601397181e-08,-8.095781335079167e-05
2.533659241392603e-08,-9.6410360747052e-05
2.533821592700746e-08,-0.0001009697990150534
2.534025447652684e-08,-0.0001265026042613403
2.534174635678976e-08,-0.0001455951130590866
2.534292904405258e-08,-0.000149562888475405
2.534435790865651e-08,-0.0001504104111128287
2.534614489135148e-08,-0.0001379952436684634
2.53476920876021e-08,-0.0001321980866701433
2.534963036488544e-08,-0.0001213217921014265
2.535208486171523e-08,-0.0001173919393706131
2.53549077116292e-08,-0.0001103141736701015
2.535828562185937e-08,-0.000118290077986984
2.536117220576674e-08,-0.0001274033695216341
2.536367293873297e-08,-0.0001375823598491233
2.536588318738828e-08,-0.0001396275865518443
2.536806054732556e-08,-0.0001417848830345156
2.536863591029203e-08,-0.0001539587056637888
2.536953639600895e-08,-0.0001732476248983467
2.53700364393816e-08,-0.0001993323820761244
2.53705873195513e-08,-0.0002289613364785834
2.537109463718923e-08,-0.0002730331921158268
2.537155483303422e-08,-0.0003107027465174245
2.537201432634948e-08,-0.0003582151458615879
2.537242522375969e-08,-0.0003936401159365829
2.537293117699978e-08,-0.0004450454182050077
2.53733648624261e-08,-0.00047961073562633
2.537378229638517e-08,-0.0005176569811814369
2.537430333422672e-08,-0.0005515845632055274
2.537496825482581e-08,-0.0005939500681380223
2.537555856005789e-08,-0.0006163968553373521
2.537619251141714e-08,-0.0006397837848484894
2.53768497238812e-08,-0.0006498822895948498
2.537762876829459e-08,-0.0006622814477191018
2.537874860798415e-08,-0.0006629555032590449
2.538006989464218e-08,-0.0006636899957321435
2.538115714774568e-08,-0.0006549636900668708
2.53827129078511e-08,-0.0006490806231211383
2.538398619324545e-08,-0.0006372161294083277
2.538561180760524e-08,-0.0006296687063649065
2.538724415841538e-08,-0.0006146463627508206
2.538918350890154e-08,-0.0006037204688014387
2.53915211769141e-08,-0.000581280995123569
2.539442391438664e-08,-0.0005585843314147889
2.539821687605943e-08,-0.0005180409277509257
2.540326725845044e-08,-0.0004750405571652727
2.540784322263332e-08,-0.0004355771135068927
2.541305744809087e-08,-0.0004030779692052666
2.541803645775705e-08,-0.0003698813896975123
2.542389294151386e-08,-0.0003426266979888507
2.54307595520856e-08,-0.0003090688960787252
2.543842252841295e-08,-0.0002828914208339959
2.544635528575704e-08,-0.0002528172380780296
2.545585538328619e-08,-0.0002280314368685784
2.546562880552052e-08,-0.0002002426201463687
2.547655414324143e-08,-0.0001801738584697364
2.54880281526853e-08,-0.0001556526870209852
2.55e-08,-0.0001395675593150048
2.550751505022266e-08,-0.0001244354700767704
2.551735554717638e-08,-0.0001105786935556817
2.552703717297855e-08,-9.916695941292789e-05
2.55431115101116e-08,-8.247290229895153e-05
2.557069415218535e-08,-6.016758753455233e-05
2.560019566874557e-08,-4.230859149054593e-05
2.563410861399822e-08,-2.757472404258393e-05
2.567339690830993e-08,-1.606564748595355e-05
2.572406887339289e-08,-7.901510031341853e-06
2.578139054283483e-08,-3.72765316921061e-06
2.584545561605093e-08,-2.03256048799671e-06
2.592210668371385e-08,-1.33766491479608e-06
2.602323141513066e-08,-1.181170019635828e-06
2.616487764459242e-08,-1.108325135094214e-06
2.640048999780399e-08,-1.142258868505102e-06
2.681164692768415e-08,-1.095373603196097e-06
2.750007654845903e-08,-1.129641889274318e-06
2.844143426430532e-08,-1.086951921740406e-06
2.922071713215266e-08,-1.124936456797875e-06
3e-08,-1.084652520809146e-06
3.003125000000001e-08,-6.35790523949686e-07
3.008302814957397e-08,-5.82604814811838e-07
3.010797700401528e-08,-5.787054541762152e-07
