P_inst (Vbp=1.1) X,P_inst (Vbp=1.1) Y,P_inst (Vbp=1.2) X,P_inst (Vbp=1.2) Y,P_inst (Vbp=1.3) X,P_inst (Vbp=1.3) Y,P_inst (Vbp=1.5) X,P_inst (Vbp=1.5) Y
1.01048744448327e-06,0.0003560907780164821,1.010489144226987e-06,0.0003658822003590323,1.010506488280611e-06,0.0003447080037213361,1.010547771685708e-06,0.0002393204443678137
1.0105e-06,0.0003469603539824038,1.0105e-06,0.0003539862937669648,1.010514090303501e-06,0.0003265181537804917,1.010550105627674e-06,0.0002300258798758464
1.010506248420939e-06,0.0003331636779922177,1.010506888199908e-06,0.0003379682767116537,1.010521683667581e-06,0.0003136508170326867,1.010552357444074e-06,0.0002219605785945388
1.010515233420369e-06,0.0003122459691178674,1.010515617789911e-06,0.0003175264507089812,1.010526255624827e-06,0.0003109484042184455,1.010555069501549e-06,0.0002123859052328703
1.010523821336241e-06,0.0002982058398113617,1.010524125458947e-06,0.0003051159637630406,1.010531613837975e-06,0.0003053824612228409,1.010557177586286e-06,0.0002049727355633236
1.010528379271423e-06,0.0002963786225635259,1.010528519907197e-06,0.0003033070569946442,1.010535510956376e-06,0.0002924276216508861,1.01056015801246e-06,0.000194542055373948
1.010532121881246e-06,0.0002942219919152588,1.010533478594409e-06,0.00029663756610503,1.010538361121728e-06,0.0002779396089004052,1.010566118864809e-06,0.000174018397447348
1.010535805587911e-06,0.000286093239427232,1.010537366236338e-06,0.0002818697348590413,1.010541811872113e-06,0.0002612642592976173,1.010575612625226e-06,0.000145071461257998
1.010538957078306e-06,0.0002723813195875351,1.010540353803973e-06,0.0002662650023742296,1.010544972769248e-06,0.0002465785976216729,1.010585641430137e-06,0.0001224152381716273
1.010542724742784e-06,0.0002528792593109258,1.010543533651114e-06,0.0002513001474227086,1.010547001700095e-06,0.0002368928525425142,1.010596084640221e-06,0.0001047285762684333
1.010545602992511e-06,0.0002396757066713899,1.010546786402113e-06,0.000236205032726519,1.010548944467608e-06,0.0002278982600949681,1.010607426208111e-06,8.917339707980404e-05
1.010549508107863e-06,0.0002215988141470216,1.010548731151656e-06,0.0002270672230471353,1.010550919972871e-06,0.000219886553192624,1.010618661678409e-06,7.604841199306128e-05
1.010551495390391e-06,0.0002126771362117643,1.010551132934254e-06,0.000216590011084655,1.01055305310638e-06,0.0002122939019114178,1.010634705398038e-06,6.038481025119197e-05
1.010553572346899e-06,0.0002047060937137893,1.010553026795903e-06,0.0002096198390558015,1.010554889497519e-06,0.0002059212586793289,1.010657225250082e-06,4.355945839793939e-05
1.010555580270776e-06,0.0001978055553352058,1.010555764389735e-06,0.0002001904691677172,1.010556831855874e-06,0.00019921011823141,1.01070226495417e-06,2.275704625476631e-05
1.010558110406863e-06,0.0001892574711834059,1.010557873855663e-06,0.0001929855050897939,1.010559059346695e-06,0.0001915346692096028,1.010741408332591e-06,1.325760791243096e-05
1.010559967800683e-06,0.0001829987345181478,1.010559971949173e-06,0.000185835113364141,1.010563514328337e-06,0.0001762662346414351,1.010783627762079e-06,7.838059708139773e-06
1.010562403096351e-06,0.0001748084879916571,1.010562914983912e-06,0.0001758327847274653,1.010569682964554e-06,0.0001557119630270768,1.01082816689102e-06,5.064453870302969e-06
1.010567273687685e-06,0.0001585312238624284,1.010568801053392e-06,0.0001561370674699004,1.01057911333571e-06,0.0001290511667051308,1.010888273130225e-06,3.547720568396641e-06
1.010574570934096e-06,0.0001354359691755451,1.010577813217249e-06,0.0001293996822399437,1.01058906653102e-06,0.0001086230698593844,1.01097062571716e-06,2.973614193853418e-06
